id,kh_question_1,kh_question_2,kh_answers,kh_correct_answer,level,en_question_1,en_question_2,en_answers,en_correct_answer
131,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"130,  140,  __,  160","145, 155, 160, 150",150,5,What is the missing number?,"130,  140,  __,  160","145, 155, 160, 150",150
132,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"573,  576,  579,  __","580, 579, 581, 582",582,5,What is the missing number?,"573,  576,  579,  __","580, 579, 581, 582",582
133,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"840,  __,  850,  855,  860","840, 855, 845, 848",845,5,What is the missing number?,"840,  __,  850,  855,  860","840, 855, 845, 848",845
134,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"210,  __,  230,  240","220, 225, 230, 215",220,5,What is the missing number?,"210,  __,  230,  240","220, 225, 230, 215",220
135,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"74,  78,  __,  86","88, 82, 80, 86",82,5,What is the missing number?,"74,  78,  __,  86","88, 82, 80, 86",82
136,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"129,  131,  __,  135,  137","130, 133, 134, 136",133,5,What is the missing number?,"129,  131,  __,  135,  137","130, 133, 134, 136",133
137,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"__, 36,  39,  42,  45","30, 31, 33, 34",33,5,What is the missing number?,"__, 36,  39,  42,  45","30, 31, 33, 34",33
138,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"85,  95,  105,  __,  125","110, 120, 125, 115",115,5,What is the missing number?,"85,  95,  105,  __,  125","110, 120, 125, 115",115
139,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"83,  85,  __,  89,  91","85, 87, 90, 88",87,5,What is the missing number?,"83,  85,  __,  89,  91","85, 87, 90, 88",87
140,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"__, 804,  808,  812","790, 800, 802, 804",800,5,What is the missing number?,"__, 804,  808,  812","790, 800, 802, 804",800
141,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"555,  ___,  565,  570","600, 550, 560, 565",560,5,What is the missing number?,"555,  ___,  565,  570","600, 550, 560, 565",560
142,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"23,  __,  29,  32,  35","22, 24, 26, 28",26,5,What is the missing number?,"23,  __,  29,  32,  35","22, 24, 26, 28",26
143,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"270,  280,  290,  ___","295, 280, 300, 305",300,5,What is the missing number?,"270,  280,  290,  ___","295, 280, 300, 305",300
144,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"833,  ___,  839,  842,  845","833, 835, 837, 836",836,5,What is the missing number?,"833,  ___,  839,  842,  845","833, 835, 837, 836",836
145,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"20,  30,  40,  __","40, 50, 60, 55",50,5,What is the missing number?,"20,  30,  40,  __","40, 50, 60, 55",50
146,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"__,  4,  8,  12,  16","2, 6, 0, 4",0,5,What is the missing number?,"__,  4,  8,  12,  16","2, 6, 0, 4",0
147,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"50,  60,  70,  80,  __","85, 88, 90, 100",90,5,What is the missing number?,"50,  60,  70,  80,  __","85, 88, 90, 100",90
148,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"__, 68,  70,  72,  74","65, 66, 68, 64",66,5,What is the missing number?,"__, 68,  70,  72,  74","65, 66, 68, 64",66
149,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"12,  14,  16,  18,  20,  22,  __","23, 24, 25, 26",24,5,What is the missing number?,"12,  14,  16,  18,  20,  22,  __","23, 24, 25, 26",24
150,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"15,  18,  21,  __,  27,  30","25, 23, 26, 24",24,5,What is the missing number?,"15,  18,  21,  __,  27,  30","25, 23, 26, 24",24
151,តើនិមិត្តសញ្ញាទីបួនគឺជាអ្វី? បើរាប់ពីខាងឆ្វេង។,**@@##**@@,"*, @, #, $",@,6,What is the fourth symbol? Count from the left.,**@@##**@@,"*, @, #, $",@
152,តើនិមិត្តសញ្ញាទីប្រាំគឺជាអ្វី? បើរាប់ពីខាងឆ្វេង។,###$$$***ooo,"o, *, $, #",$,6,What is the fifth symbol? Count from the left.,###$$$***ooo,"o, *, $, #",$
153,តើនិមិត្តសញ្ញាទីប្រាំពីរគឺជាអ្វី? បើរាប់ពីខាងឆ្វេង។,**@@##**@@,"*, @, #, $",*,6,What is the seventh symbol? Count from the left.,**@@##**@@,"*, @, #, $",*
154,តើនិមិត្តសញ្ញាទីបីគឺជាអ្វី? បើរាប់ពីខាងឆ្វេង។,$$##&&$$##&&,"#, &, $, *",#,6,What is the third symbol? Count from the left.,$$##&&$$##&&,"#, &, $, *",#
155,តើនិមិត្តសញ្ញាទីប្រាំមួយគឺជាអ្វី? បើរាប់ពីខាងឆ្វេង។,###$$$***ooo,"*, @, #, $",$,6,What is the sixth symbol? Count from the left.,###$$$***ooo,"*, @, #, $",$
156,តើនិមិត្តសញ្ញាប្រាំបីគឺជាអ្វី? បើរាប់ពីខាងឆ្វេង។,ooo&&&###@@@,"*, @, #, $",#,6,What is the eighth symbol? Count from the left.,ooo&&&###@@@,"*, @, #, $",#
157,តើនិមិត្តសញ្ញាប្រាំបួនគឺជាអ្វី? បើរាប់ពីខាងស្ដាំ។,***@@##***@@,"*, @, #, $",@,6,What is the ninth symbol? Count from the right.,***@@##***@@,"*, @, #, $",@
158,តើនិមិត្តសញ្ញាទីបីគឺជាអ្វី? បើរាប់ពីខាងស្ដាំ។,###$$$***ooo,"o, *, $, #",o,6,What is the third symbol? Count from the right.,###$$$***ooo,"o, *, $, #",o
159,តើនិមិត្តសញ្ញាទីប្រាំពីរគឺជាអ្វី? បើរាប់ពីខាងស្ដាំ។,**@@##**@@,"*, @, #, $",@,6,What is the seventh symbol? Count from the right.,**@@##**@@,"*, @, #, $",@
160,តើនិមិត្តសញ្ញាឆ្ពោះគឺជាអ្វី? បើរាប់ពីខាងស្ដាំ។,$$##&&$$##&&,"#, &, $, *",#,6,What is the forth symbol? Count from the right.,$$##&&$$##&&,"#, &, $, *",#
161,តើនិមិត្តសញ្ញាទីប្រាំមួយគឺជាអ្វី? បើរាប់ពីខាងស្ដាំ។,###$$$***ooo,"*, @, #, $",*,6,What is the sixth symbol? Count from the right.,###$$$***ooo,"*, @, #, $",*
162,តើនិមិត្តសញ្ញាប្រាំបីគឺជាអ្វី? បើរាប់ពីខាងស្ដាំ។,ooo&&&###@@@,"*, @, #, $",&,6,What is the eighth symbol? Count from the right.,ooo&&&###@@@,"*, @, #, $",&
163,តើនិមិត្តសញ្ញាទីបួនគឺជាអ្វី? បើរាប់ពីខាងឆ្វេង។,ooo&&&###@@@,"#, &, $, *",&,6,What is the fourth symbol? Count from the left.,ooo&&&###@@@,"#, &, $, *",&
164,តើនិមិត្តសញ្ញាទីប្រាំគឺជាអ្វី? បើរាប់ពីខាងឆ្វេង។,###$$$***ooo,"#, &, $, *",$,6,What is the fifth symbol? Count from the left.,###$$$***ooo,"#, &, $, *",$
165,តើនិមិត្តសញ្ញាទីប្រាំពីរគឺជាអ្វី? បើរាប់ពីខាងឆ្វេង។,$$##&&$$##&&,"*, @, #, $",$,6,What is the seventh symbol? Count from the left.,$$##&&$$##&&,"*, @, #, $",$
166,តើនិមិត្តសញ្ញាទីបីគឺជាអ្វី? បើរាប់ពីខាងឆ្វេង។,**@@##**@@,"*, @, #, $",@,6,What is the third symbol? Count from the left.,**@@##**@@,"*, @, #, $",@
167,តើនិមិត្តសញ្ញាភាគដប់គឺជាអ្វី? បើរាប់ពីខាងឆ្វេង។,###$$$***ooo,"o, *, $, #",o,6,What is the tenth symbol? Count from the left.,###$$$***ooo,"o, *, $, #",o
168,តើនិមិត្តសញ្ញាប្រាំបីគឺជាអ្វី? បើរាប់ពីខាងស្ដាំ។,ooo&&&###@@@,"o, *, $, #",#,6,What is the eighth symbol? Count from the right.,ooo&&&###@@@,"o, *, $, #",#
169,​​​​​​​​​​​​​​​​​​​​​​តើជាអក្សរអ្វីដែលស្ថិតនៅលំដាប់ទី15 បើរាប់ពីឆ្វេង?​​​                              បើរាប់ពីឆ្វេង ស្ថិតនៅលំដាប់ទី15ជាអក្សរអ្វី?,"Twinkle, twinkle, little star,
How I wonder what you are.
Up above the world so high,
Like a diamond in the sky. ","l, i, e, t",l,6,"Counting from the left, what is the letter at 15?","Twinkle, twinkle, little star,
How I wonder what you are.
Up above the world so high,
Like a diamond in the sky. ","l, i, e, t",l
170,​​​​​​​​​​​​​​​​​​​​​​តើជាអក្សរអ្វីដែលស្ថិតនៅលំដាប់ទី11 បើរាប់ពីឆ្វេង?​​​    ,"Twinkle, twinkle, little star,
How I wonder what you are.
Up above the world so high,
Like a diamond in the sky. ","o, n, k, i",n,6,"Counting from the left, what is the letter at 11?","Twinkle, twinkle, little star,
How I wonder what you are.
Up above the world so high,
Like a diamond in the sky. ","o, n, k, i",n
171,​​​​​​​​​​​​​​​​​​​​​​តើជាអក្សរអ្វីដែលស្ថិតនៅលំដាប់ទី21 បើរាប់ពីឆ្វេង?​​​    ,"Twinkle, twinkle, little star,
How I wonder what you are.
Up above the world so high,
Like a diamond in the sky. ","a, r, e, s",s,6,"Counting from the left, what is the letter at 21?","Twinkle, twinkle, little star,
How I wonder what you are.
Up above the world so high,
Like a diamond in the sky. ","a, r, e, s",s
172,​​​​​​​​​​​​​​​​​​​​​​តើជាអក្សរអ្វីដែលស្ថិតនៅលំដាប់ទី26 បើរាប់ពីឆ្វេង?​​​    ,"Twinkle, twinkle, little star,
How I wonder what you are.
Up above the world so high,
Like a diamond in the sky. ","k, h, o, w",o,6,"Counting from the left, what is the letter at 26?","Twinkle, twinkle, little star,
How I wonder what you are.
Up above the world so high,
Like a diamond in the sky. ","k, h, o, w",o
173,​​​​​​​​​​​​​​​​​​​​​​តើជាអក្សរអ្វីដែលស្ថិតនៅលំដាប់ទី7 បើរាប់ពីឆ្វេង?​​​    ,"Twinkle, twinkle, little star,
How I wonder what you are.
Up above the world so high,
Like a diamond in the sky. ","l, t, e, k",e,6,"Counting from the left, what is the letter at 7?","Twinkle, twinkle, little star,
How I wonder what you are.
Up above the world so high,
Like a diamond in the sky. ","l, t, e, k",e
174,​​​​​​​​​​​​​​​​​​​​​​តើជាអក្សរអ្វីដែលស្ថិតនៅលំដាប់ទី11 បើរាប់ពីឆ្វេង?​​​    ,"When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","a, l, I, z",z,6,"Counting from the left, what is the letter at 11?","When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","a, l, I, z",z
175,​​​​​​​​​​​​​​​​​​​​​​តើជាអក្សរអ្វីដែលស្ថិតនៅលំដាប់ទី15 បើរាប់ពីឆ្វេង?​​​    ,"When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","u, n, g, s",s,6,"Counting from the left, what is the letter at 15?","When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","u, n, g, s",s
176,​​​​​​​​​​​​​​​​​​​​​​តើជាអក្សរអ្វីដែលស្ថិតនៅលំដាប់ទី18 បើរាប់ពីឆ្វេង?​​​    ,"When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","s, i, n, u",i,6,"Counting from the left, what is the letter at 18?","When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","s, i, n, u",i
177,​​​​​​​​​​​​​​​​​​​​​​តើជាអក្សរអ្វីដែលស្ថិតនៅលំដាប់ទី21 បើរាប់ពីឆ្វេង?​​​    ,"When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","g, n, s, o",o,6,"Counting from the left, what is the letter at 21?","When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","g, n, s, o",o
178,​​​​​​​​​​​​​​​​​​​​​​តើជាអក្សរអ្វីដែលស្ថិតនៅលំដាប់ទី27 បើរាប់ពីឆ្វេង?​​​    ,"When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","n, w, e, s",n,6,"Counting from the left, what is the letter at 27?","When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","n, w, e, s",n
179,​​​​​​​​​​​​​​​​​​​​​​តើជាអក្សរអ្វីដែលស្ថិតនៅលំដាប់ទី6 បើរាប់ពីឆ្វេង?​​​    ,"When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","b, t, e, h",h,6,"Counting from the left, what is the letter at 6?","When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","b, t, e, h",h
180,​​​​​​​​​​​​​​​​​​​​​​តើជាអក្សរអ្វីដែលស្ថិតនៅលំដាប់ទី9 បើរាប់ពីឆ្វេង?​​​    ,"When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","z, b, l, a",l,6,"Counting from the left, what is the letter at 9?","When the blazing sun is gone,
When the nothing shines upon,
Then you show your little light,
Twinkle, twinkle, all the night.","z, b, l, a",l
