id,kh_question_1,kh_question_2,kh_answers,kh_correct_answer,level,en_question_1,en_question_2,en_answers,en_correct_answer
39,តើលេខមួយណាជាលេខប្រាំពីររយហាសិបពីរ?,,"700, 730, 732, 723",732,2,Which number is seven hundred and thirty two?,,"700, 730, 732, 723",732
40,តើលេខមួយណាជាលេខមួយរយហុកសិបប្រាំំពីរ?,,"167, 170, 160, 100",167,2,Which number is one hundred and sixty seven?,,"167, 170, 160, 100",167
41,តើលេខមួយណាជាលេខមួយពាន់?,,"100, 1000, 1005, 900",1000,2,Which number is one thousand?,,"100, 1000, 1005, 900",1000
42,តើលេខមួយណាជាលេខប្រាំបួនរយដប់បួន?,,"900, 914, 940, 941",914,2,Which number is nine hundred and fourteen?,,"900, 914, 940, 941",914
43,តើលេខមួយណាជាលេខហុកសិបប្រាំ?,,"56, 65, 87, 100",65,2,Which number is sixty five?,,"56, 65, 87, 100",65
44,តើលេខបន្ទាប់គឺជាលេខអ្វី?,"2, 4, __","6, 8, 5, 4",6,2,What comes next?,"2, 4, __","6, 8, 5, 4",6
45,តើលេខបន្ទាប់គឺជាលេខអ្វី?,"1, 3, 5, 7, __","8, 9, 10, 7",9,2,What comes next?,"1, 3, 5, 7, __","8, 9, 10, 7",9
46,តើលេខបន្ទាប់គឺជាលេខអ្វី?,"2, 4, 6, 8, __","9, 11, 10, 12",10,2,What comes next?,"2, 4, 6, 8, __","9, 11, 10, 12",10
47,តើលេខបន្ទាប់គឺជាលេខអ្វី?,"3, 5, 7, 9, __","10, 11, 13, 12",11,2,What comes next?,"3, 5, 7, 9, __","10, 11, 13, 12",11
48,តើលេខបន្ទាប់គឺជាលេខអ្វី?,"11, 13, 15, 17, __","18, 17, 19, 20",19,2,What comes next?,"11, 13, 15, 17, __","18, 17, 19, 20",19
49,តើលេខបន្ទាប់គឺជាលេខអ្វី?,"33, 35, 37, 39, __","33, 37, 41, 43",41,2,What comes next?,"33, 35, 37, 39, __","33, 37, 41, 43",41
50,តើលេខបន្ទាប់គឺជាលេខអ្វី?,"16, 18, 20, __","24, 22, 20, 28",22,2,What comes next?,"16, 18, 20, __","24, 22, 20, 28",22
51,តើលេខបន្ទាប់គឺជាលេខអ្វី?,"8, 10, 12, 14, __","14, 16, 18, 20",16,2,What comes next?,"8, 10, 12, 14, __","14, 16, 18, 20",16
52,តើលេខបន្ទាប់គឺជាលេខអ្វី?,"52, 54, 56, __","60, 58, 56, 54",58,2,What comes next?,"52, 54, 56, __","60, 58, 56, 54",58
53,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"1, 3, 5, __, 9, 11","6, 7, 9, 2",7,2,What is the missing number?,"1, 3, 5, __, 9, 11","6, 7, 9, 2",7
54,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"4, 6, 8, __, 12","8, 9, 10, 11",10,2,What is the missing number?,"4, 6, 8, __, 12","8, 9, 10, 11",10
55,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"4, 6, __, 10, 12","6, 7, 8, 9",8,2,What is the missing number?,"4, 6, __, 10, 12","6, 7, 8, 9",8
56,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"24, 26, 28, __, 32, 34","27, 29, 30, 31",30,2,What is the missing number?,"24, 26, 28, __, 32, 34","27, 29, 30, 31",30
57,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"71, 73, 75, __, 79","78, 77, 70, 76",77,2,What is the missing number?,"71, 73, 75, __, 79","78, 77, 70, 76",77
58,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"43, __, 47, 49, 51","44, 45, 46, 48",45,2,What is the missing number?,"43, __, 47, 49, 51","44, 45, 46, 48",45
59,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"__, 13, 15, 17, 19","10, 12, 11, 9",11,2,What is the missing number?,"__, 13, 15, 17, 19","10, 12, 11, 9",11
60,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"__, 32, 34, 36, 38","28, 30, 31, 32",30,2,What is the missing number?,"__, 32, 34, 36, 38","28, 30, 31, 32",30
61,តើលេខដែលត្រូវបំពេញគឺជាលេខប៉ុន្មាន?,"__, 108, 110, 112, 114","104, 106, 107, 110",106,3,What is the missing number?,"__, 108, 110, 112, 114","104, 106, 107, 110",106
62,តើលេខ24គឺជាលេខគូរ ឬ ក៏លេខសេស?,,"សេស, ទោះបីជា",គូរ,3,Is 24 odd or even?,,"odd, even",even
63,តើលេខ4គឺជាលេខគូរ ឬ ក៏លេខសេស?,,"សេស, ទោះបីជា",គូរ,3,Is 4 odd or even?,,"odd, even",even
64,តើលេខ18គឺជាលេខគូរ ឬ ក៏លេខសេស?,,"សេស, ទោះបីជា",គូរ,3,Is 18 odd or even?,,"odd, even",even
65,តើលេខ10គឺជាលេខគូរ ឬ ក៏លេខសេស?,,"សេស, ទោះបីជា",គូរ,3,Is 10 odd or even?,,"odd, even",even
66,តើលេខ36គឺជាលេខគូរ ឬ ក៏លេខសេស?,,"សេស, ទោះបីជា",គូរ,3,Is 36 odd or even?,,"odd, even",even
67,តើលេខ23គឺជាលេខគូរ ឬ ក៏លេខសេស?,,"សេស, ទោះបីជា",សេស,3,Is 23 odd or even?,,"odd, even",odd
68,តើលេខ9គឺជាលេខគូរ ឬ ក៏លេខសេស?,,"សេស, ទោះបីជា",សេស,3,Is 9 odd or even?,,"odd, even",odd
69,តើលេខ11គឺជាលេខគូរ ឬ ក៏លេខសេស?,,"សេស, ទោះបីជា",សេស,3,Is 11 odd or even?,,"odd, even",odd
70,តើលេខ19គឺជាលេខគូរ ឬ ក៏លេខសេស?,,"សេស, ទោះបីជា",សេស,3,Is 19 odd or even?,,"odd, even",odd
71,តើលេខ63គឺជាលេខគូរ ឬ ក៏លេខសេស?,,"សេស, ទោះបីជា",សេស,3,Is 63 odd or even?,,"odd, even",odd
72,តើលេខ36គឺជាលេខគូរ ឬ ក៏លេខសេស?,,"ទោះបីជា, សេស",គូរ,3,Is 36 even or odd?,,"even, odd",even
73,តើលេខ28គឺជាលេខគូរ ឬ ក៏លេខសេស?,,"ទោះបីជា, សេស",គូរ,3,Is 28 even or odd?,,"even, odd",even
74,តើលេខ7គឺជាលេខគូរ ឬ ក៏លេខសេស?,,"ទោះបីជា, សេស",សេស,3,Is 7 even or odd?,,"even, odd",odd
75,តើលេខ1គឺជាលេខគូរ ឬ ក៏លេខសេស?,,"ទោះបីជា, សេស",សេស,3,Is 1 even or odd?,,"even, odd",odd
76,តើលេខ39គឺជាលេខគូរ ឬ ក៏លេខសេស?,,"ទោះបីជា, សេស",សេស,3,Is 39 even or odd?,,"even, odd",odd
77,បន្ទាប់៍៍ពី66បង្គត់ឡើង10ទៀត។ តើលេខណានៅជិតជាងគេបំផុត?,,"60, 65, 70, 75",70,3,What is 66 rounded to the nearest 10?,,"60, 65, 70, 75",70
78,បន្ទាប់៍៍ពី៣០បង្គត់ចុះ10ទៀត។ តើលេខណានៅជិតជាងគេបំផុត?,,"30, 20, 10, 40",30,3,What is 30 rounded to the nearest 10?,,"30, 20, 10, 40",30
79,បន្ទាប់៍៍ពី8បង្គត់ឡើង10ទៀត។ តើលេខណានៅជិតជាងគេបំផុត?,,"0, 10, 20, 15",10,3,What is 8 rounded to the nearest 10?,,"0, 10, 20, 15",10
80,បន្ទាប់៍៍ពី11បង្គត់ចុះ10ទៀត។ តើលេខណានៅជិតជាងគេបំផុត?,,"9, 10, 100, 20",10,3,What is 11 rounded to the nearest 10?,,"9, 10, 100, 20",10
81,បន្ទាប់៍៍ពី45បង្គត់ឡើង10ទៀត។ តើលេខណានៅជិតជាងគេបំផុត?,,"50, 55, 40, 100",50,3,What is 45 rounded to the nearest 10?,,"50, 55, 40, 100",50
82,បន្ទាប់៍៍ពី5បង្គត់ឡើង10ទៀត។ តើលេខណានៅជិតជាងគេបំផុត?,,"0, 10, 5, 6",10,3,What is 5 rounded to the nearest 10?,,"0, 10, 5, 6",10
83,បន្ទាប់៍៍ពី108បង្គត់ឡើង10ទៀត។ តើលេខណានៅជិតជាងគេបំផុត?,,"100, 105, 110, 10",110,3,What is 108 rounded to the nearest 10?,,"100, 105, 110, 10",110
84,បន្ទាប់៍៍ពី74បង្គត់ចុះ10ទៀត។ តើលេខណានៅជិតជាងគេបំផុត?,,"50, 60, 70, 80",70,3,What is 74 rounded to the nearest 10?,,"50, 60, 70, 80",70
85,បន្ទាប់៍៍ពី58បង្គត់ឡើង10ទៀត។ តើលេខណានៅជិតជាងគេបំផុត?,,"40, 50, 60, 55",60,3,What is 58 rounded to the nearest 10?,,"40, 50, 60, 55",60
86,បន្ទាប់៍៍ពី228បង្គត់ឡើង10ទៀត។ តើលេខណានៅជិតជាងគេបំផុត?,,"200, 100, 220, 230",230,3,What is 228 rounded to the nearest 10?,,"200, 100, 220, 230",230
87,បន្ទាប់៍៍ពី98បង្គត់ឡើង10ទៀត។ តើលេខណានៅជិតជាងគេបំផុត?,,"80, 90, 100, 110",100,3,What is 98 rounded to the nearest 10?,,"80, 90, 100, 110",100
88,បន្ទាប់៍៍ពី17បង្គត់ឡើង10ទៀត។ តើលេខណានៅជិតជាងគេបំផុត?,,"10, 15, 20, 25",20,3,What is 17 rounded to the nearest 10?,,"10, 15, 20, 25",20
89,បន្ទាប់៍៍ពី219បង្គត់ឡើង10ទៀត។ តើលេខណានៅជិតជាងគេបំផុត?,,"200, 210, 220, 230",220,3,What is 219 rounded to the nearest 10?,,"200, 210, 220, 230",220
90,បន្ទាប់៍៍ពី49បង្គត់ឡើង10ទៀត។ តើលេខណានៅជិតជាងគេបំផុត?,,"40, 45, 50, 60",50,3,What is 49 rounded to the nearest 10?,,"40, 45, 50, 60",50
